index,manga_title
3058,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita"
3059,"Seibetsu ""Mona Lisa"" no Kimi e."
3060,Futari wa Daitai Konna Kanji
3061,Jiisan Baasan Wakagaeru
3062,Honnou Switch
3063,"Tashiro-kun, Kimi tte Yatsu wa."
3064,Houkago Teibou Nisshi
3065,Majo no Kaigashuu
3066,"Nanoni, Chigira-kun ga Amasugiru."
3067,Hayama-sensei to Terano-sensei wa Tsukiatteiru
3068,Heroine Hajimemashita.
3069,Haru to Midori
3070,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen
3071,Ame demo Hare demo
3072,Leadale no Daichi nite
3073,Youjo to Scoop to Maganou
3074,Akuyaku Reijou no Shitsuji-sama: Hametsu Flag wa Ore ga Tsubusasete Itadakimasu
3075,Class no Daikirai na Joshi to Kekkon suru Koto ni Natta.
3076,Shouha Shouten!
3077,Log Horizon: Nishikaze no Ryodan
3078,Kurokouchi
3079,Shuukan Shounen Girl
3080,Vanilla Fiction
3081,Hanebado!
3082,Sayuri-san no Imouto wa Tenshi
3083,Ashi-Girl
3084,Sore wo Koigokoro to Yobu no nara
3085,Exorcist wo Otosenai
3086,Oounabara to Wadanohara
3087,Majo to Neko no Hanashi
3088,Koi wa Tsuzuku yo Dokomademo
3089,Rikei ga Koi ni Ochita no de Shoumei shitemita.
3090,Dumbbell Nan Kilo Moteru?
3091,Tomodachi wo Tsukurou.
3092,Deatte 5-byou de Battle
3093,Isekai Yakkyoku
3094,Mimi Mix!
3095,Fate/Grand Order: Turas Réalta
3096,Peach Girl
3097,Shirahimeshou
3098,Excel Saga
3099,Slayers: Medieval Mayhem
3100,Tetsuwan Atom
3101,Shoujo Kakumei Utena
3102,Zero no Tsukaima
3103,Doumu
3104,Good Morning Call
3105,Shin Shirayuki-hime Densetsu Pretear
3106,Kenkou Zenrakei Suieibu Umishou
3107,JoJo no Kimyou na Bouken Part 1: Phantom Blood
3108,Dororo
3109,Ogawa to Yukai na Saitou-tachi
3110,Kamisama Shinkaron
3111,Mr. Fullswing
3112,Nadeshiko Club
3113,Clannad 4-koma Manga Gekijyou
3114,Kimi no Iru Basho - Real x Fake
3115,Tengujin
3116,Boyfriend
3117,Hanasakeru Seishounen
3118,Ochanigosu.
3119,Dou Danjo!?
3120,Pokémon DP: Pocket Monsters Diamond Pearl Monogatari
3121,Watashi no + Okusuri
3122,Hoshiyomi no Yogensha
3123,Kimi wa Boku no Toriko Nare
3124,Giga Tokyo Toy Box
3125,Gente: Ristorante no Hitobito
3126,Bloody Cross
3127,Shouri no Akuma
3128,Tenkyuugi: Sephirahnatus
3129,Kaze no Sylphid
3130,Death Sweeper
3131,Tenchi Shinmei!
3132,Working Holiday
3133,Little Busters! EX: The 4-koma
3134,Kimi ni Ageru.
3135,Shin Kidou Senki Gundam Wing: Endless Waltz - Haisha-tachi no Eikou
3136,Cooking Papa
3137,Higurashi no Naku Koro ni: Batsukoishi-hen
3138,Minamoto-kun Monogatari
3139,Sai x Ai
3140,Mahou Sensei Negima! Volume 0
3141,Koi Kyokusei
3142,Abnormal-kei Joshi
3143,Mahou Shoujo Lyrical Nanoha Innocent
3144,Edo Karuta
3145,Fu-fu
3146,Bokura no Himitsu wo Kyouyuu Shiyou ka
3147,Kimi to Boku no Ashiato: Time Travel Kasuga Kenkyuusho
3148,Not Lives
3149,Koukaku Kidoutai: Stand Alone Complex
3150,Seireitsukai no Blade Dance
3151,Dounyatsu
3152,Gokukoku no Brynhildr
3153,"Soshite, Hare ni Naru"
3154,Kedamono Kareshi
3155,Soul Catcher(S)
3156,Kujonin
3157,Ao ni Naku
3158,Kimi ni Suki tte Iwasetai
3159,Kenki Renka: Re:Zero kara Hajimeru Isekai Seikatsu†Shinmeitan
3160,Isekai Shikkaku
3161,Meika-san wa Oshikorosenai
3162,Koi ga Fuufu ni Naru Mae ni
3163,"""Toutosugite Yomenaaaaaaai!!"" 4P Short Stories"
3164,Gimai Seikatsu
3165,Toaru Majutsu no Index Gaiden: Toaru Kagaku no Mental Out
3166,Ippo
3167,Shin Seitokai no Ichizon
3168,Yowamushi Pedal: Spare Bike
3169,Grisaia no Kajitsu: L'Oiseau bleu
3170,Asebi to Sora Sekai no Boukensha
3171,Ito Junji Kyoufu Hakubutsukan 9: Oshikiri Idan & Frankenstein
3172,Debusen
3173,Grisaia no Rakuen: Sanctuary Fellows
3174,.hack//G.U.+
3175,Kindan no Koi wo Shiyou
3176,Mamotte! Lollipop
3177,Kashimashi: Girl Meets Girl
3178,Miyuki
3179,Senki Senki Momotama
3180,D-ash
3181,KimiKiss: Various Heroines
3182,Honey Bitter
3183,Demon Sacred
3184,Georgie
3185,Stray Little Devil
3186,Tsubasa wo Motsu Mono
3187,Gaki no Koro kara
3188,"Kiss, Zekkou, Kiss"
3189,Litchi☆Hikari Club
